Model,r^2,RMSE,MAPE,MDAPE
Linear Regression,0.5912357989002195,981831.4434953366,0.5089706866611853,0.28975834004120876
Decision Tree Regressor,0.5899801583822464,983338.2804951846,0.34814981565491837,0.1579951581392892
Random Forest Regressor,0.6221649735163861,943955.708937182,0.5493165370039876,0.15941186032074228
Gradient Boost,0.6602658312184324,895097.045340494,0.41460008004657595,0.2084646
