Model,r^2,RMSE,MAPE,MDAPE
Linear Regression,0.595391083965547,976828.3013221553,0.5097415329737544,0.2916518470530965
Decision Tree Regressor,0.3878023445202895,1201562.4298198244,0.3645913044670223,0.1627199503498082
Random Forest Regressor,0.5646235964235142,1013288.1253179058,0.4696192647398719,0.1574055811852283
Gradient Boost,0.6924547902953595,851637.9244846939,0.36960424454238017,0.18371359375
